date,temperature,rainfall,year,month,rolling_mean,anomaly,index
2015-01-01,23.567614978103354,54,2015,1,,0,0
2015-01-02,26.23050651295838,41,2015,1,,0,1
2015-01-03,21.148318907284672,76,2015,1,,0,2
2015-01-04,25.097423280301136,11,2015,1,,0,3
2015-01-05,21.1479185259561,7,2015,1,,0,4
2015-01-06,22.989203764430496,38,2015,1,,0,5
2015-01-07,26.868298825329124,44,2015,1,,0,6
2015-01-08,20.870287101366937,19,2015,1,,0,7
2015-01-09,25.702552439426682,36,2015,1,,0,8
2015-01-10,28.263338074399552,29,2015,1,,0,9
2015-01-11,29.194433234390445,50,2015,1,,0,10
2015-01-12,27.350627033877156,74,2015,1,,0,11
2015-01-13,30.03303561875412,93,2015,1,,0,12
2015-01-14,26.528783122804033,53,2015,1,,0,13
2015-01-15,25.30533861149916,49,2015,1,,0,14
2015-01-16,30.26969262484185,41,2015,1,,0,15
2015-01-17,28.080769605043567,62,2015,1,,0,16
2015-01-18,28.57646176783709,43,2015,1,,0,17
2015-01-19,26.998192924146725,15,2015,1,,0,18
2015-01-20,28.384382875659163,11,2015,1,,0,19
2015-01-21,28.129647015496598,49,2015,1,,0,20
2015-01-22,26.21597547984157,6,2015,1,,0,21
2015-01-23,25.431912170257927,72,2015,1,,0,22
2015-01-24,27.539001543536518,97,2015,1,,0,23
2015-01-25,30.1654908751142,4,2015,1,,0,24
2015-01-26,28.83295904330226,80,2015,1,,0,25
2015-01-27,31.56586134490596,51,2015,1,,0,26
2015-01-28,26.06089148683222,90,2015,1,,0,27
2015-01-29,29.043407030157397,1,2015,1,,0,28
2015-01-30,30.543394135041193,19,2015,1,26.871190665096517,0,29
2015-01-31,30.829726600213068,75,2015,1,27.113261052500174,0,30
2015-02-01,30.10511987611395,21,2015,2,27.24241483127203,0,31
2015-02-02,28.436286008014182,37,2015,2,27.485347067963012,0,32
2015-02-03,28.394582053635123,21,2015,2,27.59525236040748,0,33
2015-02-04,29.65216195045568,17,2015,2,27.878727141224132,0,34
2015-02-05,30.002162293726315,59,2015,2,28.112492425533993,0,35
2015-02-06,30.520599759542623,83,2015,2,28.234235790007777,0,36
2015-02-07,31.57503056966284,91,2015,2,28.591060572284302,0,37
2015-02-08,31.12857204505151,46,2015,2,28.7719278924718,0,38
2015-02-09,28.33894494965298,28,2015,2,28.774448121646913,0,39
2015-02-10,32.626453019084245,49,2015,2,28.888848781136705,0,40
2015-02-11,32.29140938238869,40,2015,2,29.05354152608709,0,41
2015-02-12,27.81357736709623,75,2015,2,28.979559584365163,0,42
2015-02-13,34.090008670059824,13,2015,2,29.231600435940354,0,43
2015-02-14,30.918332294643488,60,2015,2,29.418700225378497,0,44
2015-02-15,29.260859569616883,11,2015,2,29.385072456871,0,45
2015-02-16,33.401712198674176,59,2015,2,29.56243720999202,0,46
2015-02-17,30.682148864615947,95,2015,2,29.632626779884653,0,47
2015-02-18,32.542931799269404,60,2015,2,29.817451409055405,0,48
2015-02-19,34.5298489874006,2,2015,2,30.02230027944679,0,49
2015-02-20,31.218244250719888,94,2015,2,30.1252535206209,0,50
2015-02-21,30.704616334457892,56,2015,2,30.27487488244144,0,51
2015-02-22,30.55563832035604,92,2015,2,30.445665754111378,0,52
2015-02-23,31.942644457336968,86,2015,2,30.59245385123806,0,53
2015-02-24,35.111700841189965,93,2015,2,30.757327516773916,0,54
2015-02-25,32.24161903781279,63,2015,2,30.870949516590937,0,55
2015-02-26,33.94958753526913,9,2015,2,30.950407056269704,0,56
2015-02-27,34.82833005665761,23,2015,2,31.242655008597225,0,57
2015-02-28,33.65973490455031,37,2015,2,31.396532604410318,0,58
2015-03-01,29.92245612503151,63,2015,3,31.375834670743327,0,59
2015-03-02,36.65798623540461,93,2015,3,31.57010999191638,0,60
2015-03-03,32.37118477667255,94,2015,3,31.645645488601666,0,61
2015-03-04,33.4146934661888,21,2015,3,31.811592403874155,0,62
2015-03-05,32.755126171797436,81,2015,3,31.956943874479567,0,63
2015-03-06,38.26645905676168,73,2015,3,32.24408711135643,1,64
2015-03-07,33.65272361304654,14,2015,3,32.365772488667105,0,65
2015-03-08,33.846032772811355,80,2015,3,32.47662025577606,0,66
2015-03-09,31.245155334946297,72,2015,3,32.46562441461885,0,67
2015-03-10,37.038486719773964,38,2015,3,32.66262157044293,0,68
2015-03-11,31.909001175632522,78,2015,3,32.78162344464224,0,69
2015-03-12,32.59032116354038,95,2015,3,32.78041904945745,0,70
2015-03-13,35.932353056197115,2,2015,3,32.9017838385844,0,71
2015-03-14,34.69155135286019,12,2015,3,33.131049638109864,0,72
2015-03-15,37.13780658541958,1,2015,3,33.23264290195519,0,73
2015-03-16,32.04857098348167,76,2015,3,33.270317524916464,0,74
2015-03-17,36.674351433706136,83,2015,3,33.517433920386104,0,75
2015-03-18,32.012521473123975,40,2015,3,33.471127562867764,0,76
2015-03-19,33.725193960623976,92,2015,3,33.57256239940136,0,77
2015-03-20,32.356293850962814,55,2015,3,33.56634113445781,0,78
2015-03-21,33.78856431903118,43,2015,3,33.54163164551216,0,79
2015-03-22,35.377342106867886,9,2015,3,33.68026824071709,0,80
2015-03-23,37.92777110580568,52,2015,3,33.92104006642869,0,81
2015-03-24,33.67034871313114,26,2015,3,34.024863746187854,0,82
2015-03-25,31.43947151244573,0,2015,3,34.008091314691484,0,83
2015-03-26,35.0458274590869,55,2015,3,34.00589553528805,0,84
2015-03-27,35.31644275649459,2,2015,3,34.10838965924411,0,85
2015-03-28,39.39310749816192,61,2015,3,34.28984032467387,1,86
2015-03-29,36.435969395146245,58,2015,3,34.34342830262349,0,87
2015-03-30,32.85014676393613,7,2015,3,34.31644203126969,0,88
2015-03-31,33.40412702652294,26,2015,3,34.43249772798607,0,89
2015-04-01,33.387951273142995,99,2015,4,34.32349656257735,0,90
2015-04-02,32.20285197757496,74,2015,4,34.31788546927409,0,91
2015-04-03,35.83558226043179,65,2015,4,34.398581762415525,0,92
2015-04-04,34.236425233342366,30,2015,4,34.447958397800356,0,93
2015-04-05,35.81880731311008,9,2015,4,34.3663700063453,0,94
2015-04-06,35.76949891171342,34,2015,4,34.43692918296753,0,95
2015-04-07,36.123288222833224,4,2015,4,34.51283769796826,0,96
2015-04-08,36.02841893492364,99,2015,4,34.6722798179675,0,97
2015-04-09,31.11796779509246,45,2015,4,34.47492918714479,0,98
2015-04-10,34.50223885173027,60,2015,4,34.56137044301472,0,99
2015-04-11,32.48733003857945,85,2015,4,34.557937405516014,0,100
2015-04-12,36.66842406977031,3,2015,4,34.582473105968454,0,101
2015-04-13,34.57893289204387,42,2015,4,34.57871915727458,0,102
2015-04-14,33.98485349306693,24,2015,4,34.473620720862826,0,103
2015-04-15,34.57381200481385,33,2015,4,34.5577954215739,0,104
2015-04-16,33.26921185193053,40,2015,4,34.44429076884804,0,105
2015-04-17,32.18744889209402,75,2015,4,34.45012168281371,0,106
2015-04-18,34.060054186210536,41,2015,4,34.46128369033326,0,107
2015-04-19,32.812878778014415,96,2015,4,34.476503187901656,0,108
2015-04-20,32.76655023982105,82,2015,4,34.44243605192798,0,109
2015-04-21,34.58171159558005,52,2015,4,34.41591503488505,0,110
2015-04-22,37.05614262690348,67,2015,4,34.386860752254975,0,111
2015-04-23,34.256543289767784,82,2015,4,34.4064005714762,0,112
2015-04-24,35.86399178951203,85,2015,4,34.55388458071174,0,113
2015-04-25,34.68721473885795,88,2015,4,34.54193082337078,0,114
2015-04-26,31.38895656168774,20,2015,4,34.41101461687722,0,115
2015-04-27,33.32754175969285,0,2015,4,34.20882909226158,0,116
2015-04-28,36.36418874132759,93,2015,4,34.20643640380096,0,117
2015-04-29,32.20128439414446,78,2015,4,34.18480765814124,0,118
2015-04-30,38.21202655988036,73,2015,4,34.34507097591982,1,119
2015-05-01,34.54263640943978,16,2015,5,34.383560480463046,0,120
2015-05-02,34.73548403587047,7,2015,5,34.467981549072896,0,121
2015-05-03,32.73088390875524,15,2015,5,34.364491604017005,0,122
2015-05-04,33.95796644738964,21,2015,5,34.35520964448525,0,123
2015-05-05,32.2528279344309,83,2015,5,34.236343665195946,0,124
2015-05-06,29.956496019379262,20,2015,5,34.042576902118135,0,125
2015-05-07,34.18930830720185,71,2015,5,33.978110904930425,0,126
2015-05-08,32.975973385100865,64,2015,5,33.87636271993633,0,127
2015-05-09,35.622291516433826,37,2015,5,34.02650684398104,0,128
2015-05-10,31.207103021689612,23,2015,5,33.916668982979694,0,129
2015-05-11,30.684797585302345,21,2015,5,33.856584567870456,0,130
2015-05-12,32.95617834392114,41,2015,5,33.73284304367548,0,131
2015-05-13,33.24851592115935,49,2015,5,33.68849581131266,0,132
2015-05-14,30.658320243428584,21,2015,5,33.57761136965805,0,133
2015-05-15,31.297439567644147,77,2015,5,33.46839895508573,0,134
2015-05-16,31.840429859938205,16,2015,5,33.42077288868598,0,135
2015-05-17,27.18708749349552,7,2015,5,33.254094175399366,0,136
2015-05-18,33.56675286647329,32,2015,5,33.237650798074796,0,137
2015-05-19,35.945972234199495,92,2015,5,33.34208724661429,0,138
2015-05-20,33.914989004448564,21,2015,5,33.38036853876854,0,139
2015-05-21,30.510170828963563,0,2015,5,33.244650513214665,0,140
2015-05-22,31.309038220912463,89,2015,5,33.0530803663483,0,141
2015-05-23,30.716431071897652,66,2015,5,32.93507662575262,0,142
2015-05-24,33.21087969361697,75,2015,5,32.84663955588945,0,143
2015-05-25,30.59217287447411,90,2015,5,32.71013816040999,0,144
2015-05-26,34.94778170324629,85,2015,5,32.828765665128614,0,145
2015-05-27,30.24462710537406,99,2015,5,32.72600184331799,0,146
2015-05-28,31.31623682076983,60,2015,5,32.5577367792994,0,147
2015-05-29,34.76320171751681,84,2015,5,32.643134023411804,0,148
2015-05-30,31.605440442093737,44,2015,5,32.42291448615225,0,149
2015-05-31,33.123951421626444,28,2015,5,32.37562498655847,0,150
2015-06-01,27.41678283133917,92,2015,6,32.131668279740765,0,151
2015-06-02,25.346705253608846,47,2015,6,31.885528991235887,0,152
2015-06-03,30.05896308321908,9,2015,6,31.7555622124302,0,153
2015-06-04,28.809977407247295,86,2015,6,31.64080052819075,0,154
2015-06-05,29.910491564383708,18,2015,6,31.639267046357563,0,155
2015-06-06,28.80355191664467,52,2015,6,31.459741833338988,0,156
2015-06-07,32.666227143840516,24,2015,6,31.44941695863031,0,157
2015-06-08,26.87950136027943,57,2015,6,31.15799062009183,0,158
2015-06-09,27.15031127369409,80,2015,6,31.022764228491976,0,159
2015-06-10,24.41867516164866,63,2015,6,30.813893481036853,0,160
2015-06-11,26.539787551769447,99,2015,6,30.60001378796513,0,161
2015-06-12,32.69742588993616,51,2015,6,30.581644120257693,0,162
2015-06-13,27.117247603900804,65,2015,6,30.46360836560677,0,163
2015-06-14,30.138931716933275,98,2015,6,30.424991437249737,0,164
2015-06-15,27.43925203323038,68,2015,6,30.27828550969281,0,165
2015-06-16,28.37000069538319,67,2015,6,30.31771594975573,0,166
2015-06-17,27.181968380656915,82,2015,6,30.10488980022852,0,167
2015-06-18,25.03441765218802,29,2015,6,29.741171314161473,0,168
2015-06-19,27.618599467331926,46,2015,6,29.53129166292425,0,169
2015-06-20,28.481171608194014,37,2015,6,29.463658355565265,0,170
2015-06-21,27.042711089641582,62,2015,6,29.321447451189567,0,171
2015-06-22,27.308767712223602,18,2015,6,29.207858672533764,0,172
2015-06-23,28.475554455944515,81,2015,6,29.050014497944687,0,173
2015-06-24,28.375228578192527,98,2015,6,28.9761163547353,0,174
2015-06-25,26.914319386843765,56,2015,6,28.70833427752188,0,175
2015-06-26,29.980325413045772,22,2015,6,28.699524221110938,0,176
2015-06-27,27.993303817420113,40,2015,6,28.58875978766595,0,177
2015-06-28,25.91772272187552,4,2015,6,28.29391048781124,0,178
2015-06-29,24.88403624221563,89,2015,6,28.06986368114864,0,179
2015-06-30,26.149107736206787,20,2015,6,27.837368891634647,0,180
2015-07-01,22.160454134618035,77,2015,7,27.662157935077275,0,181
2015-07-02,25.17343712775533,46,2015,7,27.656382330882156,0,182
2015-07-03,22.822795743816332,13,2015,7,27.415176752902067,0,183
2015-07-04,23.393033350436184,57,2015,7,27.234611951008365,0,184
2015-07-05,23.983752487069797,5,2015,7,27.037053981764565,0,185
2015-07-06,21.715535235026238,81,2015,7,26.80078675904395,0,186
2015-07-07,21.002285373322174,62,2015,7,26.411988700026672,0,187
2015-07-08,22.857426048908764,12,2015,7,26.277919522980987,0,188
